No.,Brands,Parent,Country Of Origin,Site,"TOTAL MOBILE SITES SCORE
(0-5)",Total Iphone Score (0-2),Total ipad Score (0-2),"iOS Functionality score
(0-1)",TOTAL iOS SCORE (0-5),Geolocal (0-2),Mobile Innovation (0-3),"TOTAL MOBILE INNOVATION SCORE 
(0-5)",Mobile Total (0-20) ,,"Facebook 
(0-10)","Twitter
(0-5) ","YouTube
(0-5) ",Traditional Scoail Media Total (0-20),Pinterest (0-5),Tumblr (0-5),Instagram (0-5),Google+ (0-5),Emerging Social Media (0-5),Social Media Total (0-20),,Traffic,Web Authority,Quantitative Search (0-10),Google (0-5),Bing (0-5),Mobile (0-5),Qualitative Search (0-5),"Search
 (0-15)",Web Advertising (0-5),Innovation (0-5),"Web
Advertising & Innovation Total
(0-5)","User Generated Content
(0-5)","Email Marketing Content
(0-5)",Digital Marketing Total (0-30),,Brand Translation Visual Aesthetics (0-5),Brand Translation Messaging (0-5),Technology Score (0-5),Search & Nav Score (0-5),Customer Service (0-5),Product Page (0-5),Checkout (0-5),Account (0-5),Total Site Score (0-30), Site Total (0-30),,Total Digital IQ,ADJUSTED DIGITAL IQ,Rank,Class,Percent Rank,E-commerce Enabled,Member?,2011 Digital IQ ,2012-2011 Differential,2011 Digital IQ Percent Rank,2012-2011 % Differential,2010 Digital IQ,1 month Traffic Growth,Annual Traffic Growth,2010 - 2009 Change (%)
21,Ermenegildo Zegna,Ermenegildo Zegna,Italy,http://www.zegna.com,2.50,1.00,1.13,0.25,2.38,0.38,1.00,1.38,8.75,,3.58,1.89,2.28,7.75,1.61,0.00,0.86,0.00,0.99,6.99,,2.0,3.0,5.0,2.5,1.0,2.7,2.24,7.24,2.7,0.3,1.46,1.95,2.60,13.25,,4,5,2.46,4.02,2.50,3.17,2.26,1.25,15.66,18.5,,47.48,116,20,Gifted,69%,y,,102,14,58%,11%,,,,
22,Escada,Escada Group,Germany,http://www.escada.com/,2.50,0.00,0.00,0.00,0.00,0.54,0.00,0.54,5.54,,3.86,1.27,0.68,5.81,1.27,0.00,0.00,0.00,0.51,5.05,,2.0,2.0,4.0,1.8,1.0,1.8,1.62,5.62,0.5,0.0,0.26,1.97,0.00,7.84,,4,4,3.24,1.27,0.75,1.53,0.00,1.25,8.04,12.0,,30.47,75,51,Challenged,17%,N,,,NA,,NA,,,,
23,Fendi,LVMH,Italy,http://www.fendi.com/,3.00,0.00,0.00,0.00,0.00,0.61,0.25,0.86,6.86,,3.60,0.00,2.51,6.11,1.83,0.00,2.53,4.18,2.16,6.62,,2.0,2.0,4.0,0.5,0.8,0.7,0.59,4.59,0.6,0.8,0.67,2.98,1.87,10.12,,3,3,2.08,0.30,0.00,1.28,0.00,0.00,3.66,7.2,,30.84,75,51,Challenged,17%,N,,92,-17,39%,-22%,,,,
24,Giorgio Armani,Giorgio Armani Corporation,Italy,http://armani.com,4.00,1.17,1.00,0.08,2.25,1.09,0.25,1.34,11.59,,3.81,3.26,2.85,9.93,2.47,2.23,3.80,3.85,3.12,10.44,,3.0,3.0,6.0,3.0,1.8,4.0,2.95,8.95,2.7,2.0,2.34,4.54,2.53,18.36,,3,4,1.92,3.71,0.75,1.92,1.91,1.25,11.46,13.8,,54.23,133,11,Gifted,84%,Y,,98,35,50%,34%,,,,
25,Givenchy,LVMH,France,http://www.givenchy.com,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,3.43,0.62,0.42,4.47,1.03,0.00,3.34,0.00,1.74,4.97,,2.0,3.0,5.0,1.8,0.3,1.7,1.45,6.45,0.7,0.0,0.34,3.32,0.00,10.10,,0,0,2.56,0.22,0.25,0.03,0.00,0.00,3.05,2.3,,17.37,42,62,Feeble,3%,n,,46,-4,2%,1%,,,,
26,Gucci,Gucci Group (PPR),Italy,http://www.gucci.com,2.50,1.00,1.00,0.50,2.50,1.68,1.25,2.93,10.43,,4.09,3.04,1.52,8.64,2.62,1.78,2.29,4.47,2.59,8.98,,5.0,5.0,10.0,2.5,2.5,1.6,2.32,12.32,1.9,1.8,1.81,4.94,2.53,21.60,,5,5,2.97,3.75,1.50,2.92,1.51,1.88,14.53,18.4,,59.41,145,5,Genius,93%,y,,141,4,93%,0%,,,,
27,Hermes,Hermes,France,http://www.hermes.com/,1.00,0.00,0.00,0.00,0.00,0.79,0.00,0.79,2.79,,3.16,0.85,2.65,6.66,0.00,0.00,3.70,3.69,1.85,6.81,,3.0,5.0,8.0,1.5,1.0,1.0,1.31,9.31,0.0,1.8,0.88,1.84,2.53,14.56,,4,4,3.00,0.39,2.50,0.03,1.06,0.63,7.61,11.7,,35.86,88,44,Challenged,30%,y,,,NA,,NA,,,,
28,Hugo Boss,HUGO BOSS Group,Germany,http://www.hugoboss.com,3.00,1.00,1.00,0.33,2.33,1.41,1.50,2.91,11.24,,4.95,1.35,3.17,9.48,2.51,0.00,3.07,4.21,2.65,9.70,,3.0,4.0,7.0,2.0,2.3,0.0,1.66,8.66,0.9,2.0,1.46,3.19,2.53,15.84,,4,4,2.49,3.21,3.00,3.90,2.97,2.19,17.75,19.3,,56.10,137,9,Gifted,87%,y,,134,3,85%,2%,,,,
29,Jimmy Choo,Labelux Group Inc,United Kingdom,http://www.jimmychoo.com/,1.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,2.34,,5.32,2.61,1.50,9.43,3.04,0.00,2.80,3.78,2.71,9.71,,3.0,2.0,5.0,2.3,1.8,0.0,1.71,6.71,2.0,2.0,2.01,3.31,2.27,14.29,,3,3,1.13,3.27,1.00,2.75,2.86,1.25,12.26,13.7,,40.04,98,34,Average,47%,y,,109,-11,64%,-17%,,,,
30,John Varvatos,VF Corp,United States,http://www.johnvarvatos.com/,5.00,0.00,0.00,0.00,0.00,0.92,0.00,0.92,10.92,,4.57,1.89,1.86,8.32,1.76,0.00,2.03,0.00,1.51,7.87,,2.0,2.0,4.0,1.3,2.0,2.1,1.57,5.57,0.6,0.5,0.55,1.71,3.80,11.63,,3,4,1.69,4.25,1.75,2.40,3.20,1.88,15.16,16.6,,47.04,115,21,Gifted,65%,y,,113,2,70%,-5%,,,,
31,Kate Spade,Fifth & Pacific,United States,www.katespade.com,5.00,0.00,0.00,0.00,0.00,1.68,0.25,1.93,11.93,,4.45,3.16,2.06,9.66,2.98,1.25,4.31,3.62,3.40,10.45,,4.0,3.0,7.0,1.8,2.5,1.1,1.78,8.78,4.4,3.5,3.96,2.93,3.53,19.21,,4,4,1.82,4.00,1.75,3.65,4.06,1.88,17.15,18.9,,60.46,148,3,Genius,95%,Y,,143,5,97%,-2%,,,,
32,Lacoste,Lacoste,France,http://www.lacoste.com/,5.00,1.50,1.00,0.38,2.88,1.52,0.50,2.02,14.89,,3.92,1.39,2.73,8.04,2.39,0.53,2.64,4.30,2.50,8.43,,3.0,4.0,7.0,2.8,2.0,2.2,2.49,9.49,1.0,1.8,1.36,4.12,2.33,17.30,,4,4,3.06,2.64,1.75,2.65,2.26,0.63,12.98,15.7,,56.36,138,8,Gifted,88%,Y,,,NA,,NA,,,,
33,Lancel,Richemont,France,http://www.lancel.com,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,,2.90,1.22,0.54,4.66,0.00,0.00,0.00,0.00,0.00,3.73,,2.0,2.0,4.0,1.0,0.3,1.4,0.96,4.96,0.0,0.0,0.00,1.90,0.00,6.86,,3,2,2.07,1.21,0.00,1.28,0.00,0.00,4.56,7.2,,23.76,58,57,Feeble,11%,N,,,NA,,NA,,,,
34,Lanvin,Lanvin,France,http://www.lanvin.com/,3.50,0.00,0.00,0.00,0.00,0.60,0.25,0.85,7.85,,3.69,2.31,2.22,8.22,1.93,0.00,2.80,3.13,2.20,8.34,,2.0,3.0,5.0,0.5,0.8,0.7,0.59,5.59,0.5,1.0,0.74,2.76,2.87,11.96,,4,4,1.38,1.89,0.75,2.15,1.77,1.88,9.82,13.4,,41.52,102,31,Average,52%,Y,,,NA,,NA,,,,
35,Longchamp,Longchamp,France,http://www.longchamp.com,1.00,1.00,0.00,0.25,1.25,0.48,0.00,0.48,3.73,,2.72,1.11,2.39,6.22,1.03,0.00,1.79,3.26,1.45,6.13,,3.0,2.0,5.0,1.0,0.8,0.7,0.89,5.89,0.9,0.5,0.69,2.17,2.27,11.02,,3,2,2.68,1.14,2.50,1.74,1.06,2.50,11.62,12.5,,33.34,82,49,Challenged,23%,Y,,88,-6,25%,-2%,,,,
36,Louis Vuitton,LVMH,France,http://www.louisvuitton.com,3.50,1.00,1.25,0.25,2.50,1.99,0.75,2.74,12.24,,5.05,3.07,3.12,11.23,2.75,0.00,1.06,0.00,1.52,10.20,,5.0,5.0,10.0,1.7,1.5,1.7,1.65,11.65,0.8,0.8,0.79,4.70,0.00,17.13,,5,5,1.29,2.39,3.50,1.24,2.26,3.44,14.11,18.1,,57.66,141,7,Genius,90%,y,,127,14,83%,7%,,,,
37,Manolo Blahnik ,Manolo Blahnik ,United Kingdom,http://www.manoloblahnik.com/,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.88,0.88,,1.83,2.56,0.00,4.39,0.00,0.00,0.56,0.00,0.23,3.69,,2.0,2.0,4.0,0.3,0.5,0.5,0.36,4.36,0.0,1.3,0.63,1.13,0.00,6.11,,2,1,0.45,1.27,0.00,0.00,0.00,0.00,1.72,3.5,,14.22,35,64,Feeble,0%,N,,44,-9,0%,0%,,,,
38,Marc Jacobs,LVMH,United States,http://www.marcjacobs.com/,1.00,0.00,0.00,0.00,0.00,1.93,0.00,1.93,3.93,,4.55,2.58,1.92,9.06,3.19,0.53,3.44,4.32,3.14,9.75,,3.0,4.0,7.0,2.0,1.8,1.1,1.78,8.78,0.5,2.8,1.63,3.97,2.27,16.65,,3,2,2.39,3.25,2.25,2.40,2.26,1.88,14.42,14.6,,44.89,110,26,Gifted,60%,Y,,116,-6,75%,-15%,,,,
39,Max Mara,Max Mara S.R.L.,Italy,http://www.maxmara.com,1.00,1.25,1.00,0.50,2.75,0.07,0.25,0.32,5.07,,2.87,0.00,0.47,3.34,0.00,0.00,0.00,0.00,0.00,2.67,,2.0,2.0,4.0,1.5,1.0,0.7,1.24,5.24,0.0,0.0,0.00,1.90,0.53,7.68,,3,3,2.93,0.96,0.00,0.00,0.00,0.00,3.89,7.4,,22.84,56,58,Feeble,9%,N,,80,-24,16%,-7%,,,,
40,Michael Kors,Michael Kors Inc.,United States,http://www.michaelkors.com/,1.00,0.00,0.00,0.00,0.00,1.00,0.50,1.50,3.50,,6.12,3.26,2.05,11.43,2.91,0.00,3.75,3.38,3.00,11.54,,4.0,3.0,7.0,2.3,2.3,2.2,2.24,9.24,2.4,2.3,2.32,3.63,1.33,16.52,,4,3,2.26,4.75,3.25,2.24,3.34,1.88,17.71,18.5,,50.10,123,15,Gifted,76%,y,,126,-3,81%,-5%,,,,
41,Missoni,Missoni S.p.A.,Italy,http://www.missoni.com/,0.00,1.06,1.13,0.31,2.50,0.48,0.50,0.98,3.48,,2.71,2.10,0.26,5.07,1.87,0.00,1.81,0.00,1.47,5.23,,2.0,2.0,4.0,1.2,0.8,1.6,1.21,5.21,0.5,1.0,0.74,2.28,0.00,8.23,,2,2,1.25,0.64,0.00,0.03,0.00,0.00,1.93,4.4,,21.40,52,59,Feeble,7%,N,,,NA,,NA,,,,
42,Mulberry,Mulberry,United Kingdom,http://www.mulberry.com,1.00,1.50,1.50,0.75,3.75,0.39,0.00,0.39,6.14,,4.46,2.50,1.96,8.93,2.39,0.00,1.26,0.00,1.46,8.31,,2.0,3.0,5.0,1.5,0.5,1.5,1.31,6.31,0.0,1.3,0.63,1.85,2.00,10.79,,3,3,2.44,1.96,1.75,2.42,0.80,1.88,11.24,12.9,,38.17,93,40,Average,36%,Y,,90,3,33%,3%,,,,
43,Oscar de la Renta,Oscar de la Renta Ltd.,United States,http://www.oscardelarenta.com/,2.50,0.00,0.00,0.00,0.00,1.39,0.00,1.39,6.39,,5.23,2.83,0.67,8.72,2.83,1.78,3.79,1.05,2.93,9.32,,2.0,3.0,5.0,2.3,1.5,2.0,2.05,7.05,2.2,3.3,2.72,2.01,2.87,14.65,,4,3,3.18,3.50,4.00,2.24,1.91,1.25,16.08,17.3,,47.67,117,18,Gifted,71%,Y,,96,21,45%,26%,,,,
44,Paul Smith,Paul Smith,United Kingdom,http://www.paulsmith.co.uk/,4.50,0.00,0.00,0.00,0.00,0.81,0.00,0.81,9.81,,2.70,2.68,1.14,6.51,1.55,0.00,2.52,0.00,1.63,6.51,,2.0,3.0,5.0,1.0,0.5,0.7,0.84,5.84,0.0,1.5,0.75,0.28,1.33,8.21,,3,3,3.87,2.52,1.00,2.67,2.14,1.25,13.46,14.6,,39.13,96,35,Average,42%,Y,,110,-14,68%,-26%,,,,
45,Prada,Prada S.p.A.,Italy,http://www.prada.com,2.50,0.00,0.00,0.00,0.00,0.87,0.25,1.12,6.12,,3.31,0.00,2.50,5.81,0.00,0.00,0.00,3.42,0.34,4.92,,3.0,4.0,7.0,1.0,1.0,0.7,0.94,7.94,0.6,0.5,0.55,4.68,0.27,13.44,,4,4,1.23,1.28,0.00,1.17,2.06,0.63,6.36,10.8,,35.25,86,47,Challenged,26%,Y,,73,13,10%,16%,,,,
